,device,time_start,time_stop,date,status,type
0,71471,,,2020-09-15 11:26:12.584293,Completed,build_model
1,71471,2020-09-02T09:40:00.001Z,2020-09-02T10:10:00.001Z,2020-09-16 06:17:33.940728,Processing,analysis
2,71471,2020-09-02T06:40:00.001Z,2020-09-02T07:10:00.001Z,2020-09-16 09:53:23.889348,Error uploading data,analysis
3,71471,2020-09-02T07:40:00.001Z,2020-09-02T08:10:00.001Z,2020-09-16 09:56:12.328678,Error uploading data,analysis
4,71471,2020-09-02T08:40:00.001Z,2020-09-02T09:10:00.001Z,2020-09-16 10:01:30.613977,Processing,analysis
5,71471,2020-09-02T09:40:00.001Z,2020-09-02T10:10:00.001Z,2020-09-16 14:44:10.458382,Processing,analysis
6,71471,2020-09-02T10:10:00.001Z,2020-09-02T10:40:00.001Z,2020-09-16 18:14:10.593191,Processing,analysis
7,71471,2020-09-02T10:40:00.001Z,2020-09-02T11:10:00.001Z,2020-09-16 21:44:10.855785,Processing,analysis
8,71471,2020-09-02T11:10:00.001Z,2020-09-02T11:40:00.001Z,2020-09-17 01:14:11.115764,Processing,analysis
9,71471,2020-09-02T11:40:00.001Z,2020-09-02T12:10:00.001Z,2020-09-17 04:44:11.712132,Processing,analysis
10,71471,2020-09-02T12:10:00.001Z,2020-09-02T12:40:00.001Z,2020-09-17 08:14:11.913056,Processing,analysis
11,71471,2020-09-02T11:40:00.001Z,2020-09-02T12:10:00.001Z,2020-09-17 08:49:36.232262,Processing,analysis
12,71471,2020-09-02T12:10:00.001Z,2020-09-02T12:40:00.001Z,2020-09-17 08:53:38.876234,Processing,analysis
13,71471,2020-09-02T12:40:00.001Z,2020-09-02T13:10:00.001Z,2020-09-17 12:23:39.558737,Processing,analysis
14,71471,2020-09-02T12:40:00.001Z,2020-09-02T13:10:00.001Z,2020-09-17 13:06:48.683150,Processing,analysis
15,71471,2020-09-02T12:40:00.001Z,2020-09-02T13:10:00.001Z,2020-09-17 13:08:38.057479,Processing,analysis
16,71471,2020-09-02T12:40:00.001Z,2020-09-02T13:10:00.001Z,2020-09-17 13:42:30.214251,Processing,analysis
17,71471,2020-09-02T13:10:00.001Z,2020-09-02T13:40:00.001Z,2020-09-17 17:12:30.713006,Processing,analysis
18,71471,2020-09-02T13:40:00.001Z,2020-09-02T14:10:00.001Z,2020-09-17 20:42:31.491265,Processing,analysis
19,71471,2020-09-02T14:10:00.001Z,2020-09-02T14:40:00.001Z,2020-09-18 00:12:31.714219,Processing,analysis
20,71471,2020-09-02T14:40:00.001Z,2020-09-02T15:10:00.001Z,2020-09-18 03:42:32.253183,Processing,analysis
21,71471,2020-09-02T15:10:00.001Z,2020-09-02T15:40:00.001Z,2020-09-18 07:12:32.440719,Processing,analysis
22,71471,2020-09-02T09:40:00.001Z,2020-09-02T10:10:00.001Z,2020-09-18 08:29:05.791201,Processing,redo_forecast
23,71471,2020-09-02T10:10:00.001Z,2020-09-02T10:40:00.001Z,2020-09-18 08:43:09.098430,Processing,redo_forecast
24,71471,2020-09-02T09:40:00.001Z,2020-09-02T10:10:00.001Z,2020-09-18 08:51:45.967918,Processing,redo_forecast
25,71471,2020-09-02T10:10:00.001Z,2020-09-02T10:40:00.001Z,2020-09-18 09:01:46.279838,Processing,redo_forecast
26,71471,2020-09-02T10:40:00.001Z,2020-09-02T11:10:00.001Z,2020-09-18 09:11:46.476326,Processing,redo_forecast
27,71471,2020-09-02T11:10:00.001Z,2020-09-02T11:40:00.001Z,2020-09-18 09:21:46.828851,Processing,redo_forecast
28,71471,2020-09-02T08:40:00.001Z,2020-09-02T09:10:00.001Z,2020-09-18 11:05:48.723255,Processing,redo_forecast
29,71471,2020-09-02T11:10:00.001Z,2020-09-02T11:40:00.001Z,2020-09-18 11:31:23.551859,Completed,redo_forecast
30,71471,2020-09-02T11:40:00.001Z,2020-09-02T12:10:00.001Z,2020-09-18 11:41:23.706200,Completed,redo_forecast
31,71471,2020-09-02T12:10:00.001Z,2020-09-02T12:40:00.001Z,2020-09-18 11:51:23.846295,Processing,redo_forecast
32,71471,2020-09-02T12:40:00.001Z,2020-09-02T13:10:00.001Z,2020-09-18 12:01:23.994713,Completed,redo_forecast
33,71471,2020-09-02T13:10:00.001Z,2020-09-02T13:40:00.001Z,2020-09-18 12:11:24.111648,Completed,redo_forecast
34,71471,2020-09-02T13:40:00.001Z,2020-09-02T14:10:00.001Z,2020-09-18 12:21:24.248386,Processing,redo_forecast
35,71471,2020-09-02T15:10:00.001Z,2020-09-02T15:40:00.001Z,2020-09-18 12:22:52.198406,Processing,analysis
36,71471,2020-09-02T14:10:00.001Z,2020-09-02T14:40:00.001Z,2020-09-18 12:31:24.421936,Processing,redo_forecast
37,71471,2020-09-02T14:40:00.001Z,2020-09-02T15:10:00.001Z,2020-09-18 12:41:24.578735,Processing,redo_forecast
38,71471,2020-09-02T15:40:00.001Z,2020-09-02T16:10:00.001Z,2020-09-18 15:52:52.830407,Processing,analysis
39,71471,2020-09-02T16:10:00.001Z,2020-09-02T16:40:00.001Z,2020-09-18 19:22:53.035261,Processing,analysis
40,71471,2020-09-02T16:40:00.001Z,2020-09-02T17:10:00.001Z,2020-09-18 22:52:53.273322,Processing,analysis
41,71471,2020-09-02T17:10:00.001Z,2020-09-02T17:40:00.001Z,2020-09-19 02:22:53.355112,Processing,analysis
42,71471,2020-09-02T17:40:00.001Z,2020-09-02T18:10:00.001Z,2020-09-19 05:52:53.634846,Completed,analysis
43,71471,2020-09-02T18:10:00.001Z,2020-09-02T18:40:00.001Z,2020-09-19 09:22:53.792700,Completed,analysis
44,71471,2020-09-02T18:40:00.001Z,2020-09-02T19:10:00.001Z,2020-09-19 12:52:54.512740,Processing,analysis
45,71471,2020-09-02T19:10:00.001Z,2020-09-02T19:40:00.001Z,2020-09-19 16:22:54.620638,Completed,analysis
46,71471,2020-09-02T19:40:00.001Z,2020-09-02T20:10:00.001Z,2020-09-19 19:52:55.127482,Completed,analysis
47,71471,2020-09-02T20:10:00.001Z,2020-09-02T20:40:00.001Z,2020-09-19 23:22:55.279241,Processing,analysis
48,71471,2020-09-02T20:40:00.001Z,2020-09-02T21:10:00.001Z,2020-09-20 02:52:55.744262,Completed,analysis
49,71471,2020-09-02T21:10:00.001Z,2020-09-02T21:40:00.001Z,2020-09-20 06:22:55.927561,Completed,analysis
50,71471,2020-09-02T21:40:00.001Z,2020-09-02T22:10:00.001Z,2020-09-20 09:52:56.412016,Processing,analysis
51,71471,2020-09-02T22:10:00.001Z,2020-09-02T22:40:00.001Z,2020-09-20 13:22:56.665867,Completed,analysis
52,71471,2020-09-02T22:40:00.001Z,2020-09-02T23:10:00.001Z,2020-09-20 16:52:57.171991,Processing,analysis
53,71471,2020-09-02T23:10:00.001Z,2020-09-02T23:40:00.001Z,2020-09-20 20:22:57.382521,Processing,analysis
54,71471,2020-09-02T23:40:00.001Z,2020-09-03T00:10:00.001Z,2020-09-20 23:52:57.949356,Processing,analysis
55,71471,2020-09-03T00:10:00.001Z,2020-09-03T00:40:00.001Z,2020-09-21 03:22:58.122419,Processing,analysis
56,71471,2020-09-03T00:40:00.001Z,2020-09-03T01:10:00.001Z,2020-09-21 06:52:58.473154,Processing,analysis
57,71471,2020-09-03T00:10:00.001Z,2020-09-03T00:40:00.001Z,2020-09-21 08:48:53.519907,Processing,analysis
58,71471,2020-09-03T00:40:00.001Z,2020-09-03T01:10:00.001Z,2020-09-21 12:02:35.053968,Processing,analysis
59,71471,2020-09-03T01:10:00.001Z,2020-09-03T01:40:00.001Z,2020-09-21 15:32:35.365533,Processing,analysis
60,71471,2020-09-03T01:40:00.001Z,2020-09-03T02:10:00.001Z,2020-09-21 19:02:36.222826,Processing,analysis
61,71471,2020-09-03T02:10:00.001Z,2020-09-03T02:40:00.001Z,2020-09-21 22:32:36.390708,Processing,analysis
62,71471,2020-09-03T02:40:00.001Z,2020-09-03T03:10:00.001Z,2020-09-22 02:02:36.871161,Completed,analysis
63,71471,2020-09-03T03:10:00.001Z,2020-09-03T03:40:00.001Z,2020-09-22 05:32:36.965439,Processing,analysis
64,71471,2020-09-03T02:40:00.001Z,2020-09-03T03:10:00.001Z,2020-09-22 07:25:32.031831,Processing,analysis
65,71471,2020-09-03T03:10:00.001Z,2020-09-03T03:40:00.001Z,2020-09-22 07:26:17.500053,Completed,analysis
66,71471,2020-09-03T03:40:00.001Z,2020-09-03T04:10:00.001Z,2020-09-22 09:16:04.824236,Completed,analysis
67,71471,2020-09-03T06:10:00.001Z,2020-09-03T06:40:00.001Z,2020-09-22 09:33:45.290265,Processing,analysis
